关键词,模型,类别,准确率,召回率,f-值,样本数,类别,准确率,召回率,f-值,样本数
盐田港,naivebayes,avg / total,1.00,1.00,1.00,20,1,1.00,1.00,1.00,20
广深铁路,naivebayes,avg / total,1.00,1.00,1.00,1688,1,1.00,1.00,1.00,1688
得利斯,naivebayes,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
深高速,naivebayes,1,0.87,0.93,0.90,717,0,0.85,0.73,0.78,381
吉林高速,naivebayes,avg / total,1.00,1.00,1.00,3,1,1.00,1.00,1.00,3
鲁泰,naivebayes,avg / total,1.00,1.00,1.00,18,1,1.00,1.00,1.00,18
中兴通讯,naivebayes,1,1.00,1.00,1.00,213,0,1.00,1.00,1.00,1
好当家,randomforest,1,1.00,0.95,0.97,20,0,0.95,1.00,0.97,18
中国重工,naivebayes,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,2
周大生,naivebayes,avg / total,1.00,1.00,1.00,18,1,1.00,1.00,1.00,18
上海环境,naivebayes,avg / total,1.00,1.00,1.00,2,1,1.00,1.00,1.00,2
老百姓,svm,1,0.83,0.95,0.89,1180,0,0.76,0.46,0.57,419
云南旅游,naivebayes,1,0.61,0.19,0.29,58,0,0.61,0.91,0.74,82
中国建筑,naivebayes,1,0.96,0.97,0.97,407,0,0.35,0.26,0.30,23
东方能源,svm,1,1.00,1.00,1.00,4521,0,1.00,0.75,0.86,4
东方园林,naivebayes,1,1.00,1.00,1.00,3644,0,0.48,1.00,0.65,13
新华网,randomforest,1,0.94,0.83,0.88,18,0,0.86,0.95,0.90,20
马应龙,naivebayes,1,1.00,1.00,1.00,20,0,1.00,1.00,1.00,1
煌上煌,naivebayes,1,1.00,1.00,1.00,34,0,1.00,1.00,1.00,2
沈阳化工,naivebayes,1,1.00,1.00,1.00,12,0,1.00,1.00,1.00,4
深圳能源,naivebayes,avg / total,1.00,1.00,1.00,18,1,1.00,1.00,1.00,18
新文化,naivebayes,avg / total,1.00,1.00,1.00,20,1,1.00,1.00,1.00,20
TCL集团,naivebayes,avg / total,1.00,1.00,1.00,113,1,1.00,1.00,1.00,113
青岛海尔,naivebayes,1,1.00,1.00,1.00,36,0,1.00,1.00,1.00,1
老板电器,naivebayes,avg / total,1.00,1.00,1.00,94,1,1.00,1.00,1.00,94
北大医药,naivebayes,1,1.00,1.00,1.00,20,0,1.00,1.00,1.00,1
广汽集团,naivebayes,1,1.00,1.00,1.00,158,0,1.00,1.00,1.00,7
阳光股份,naivebayes,avg / total,1.00,1.00,1.00,18,1,1.00,1.00,1.00,18
电子城,naivebayes,1,0.91,0.94,0.93,34,0,0.88,0.83,0.86,18
太平洋,naivebayes,1,0.86,0.90,0.88,20,0,0.93,0.90,0.91,29
深圳机场,svm,1,0.89,0.88,0.89,796,0,0.84,0.86,0.85,589
大连港,randomforest,1,0.99,1.00,1.00,116,0,1.00,0.91,0.95,11
金融街,naivebayes,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,1
东方市场,naivebayes,avg / total,1.00,1.00,1.00,3,1,1.00,1.00,1.00,3
电科院,naivebayes,1,0.86,0.92,0.89,26,0,0.89,0.80,0.84,20
江苏有线,naivebayes,avg / total,1.00,1.00,1.00,18,1,1.00,1.00,1.00,18
太阳鸟,naivebayes,1,1.00,1.00,1.00,33,0,1.00,1.00,1.00,4
超频三,naivebayes,avg / total,1.00,1.00,1.00,4,1,1.00,1.00,1.00,4
北大荒,naivebayes,1,1.00,1.00,1.00,41,0,1.00,1.00,1.00,6
桂林旅游,naivebayes,1,0.89,0.85,0.87,20,0,0.84,0.89,0.86,18
广生堂,naivebayes,avg / total,1.00,1.00,1.00,33,1,1.00,1.00,1.00,33
二六三,naivebayes,avg / total,1.00,1.00,1.00,20,1,1.00,1.00,1.00,20
新希望,svm,1,0.94,0.97,0.96,4606,0,0.59,0.40,0.47,461
二三四五,naivebayes,1,1.00,1.00,1.00,22,0,1.00,1.00,1.00,2
陆家嘴,randomforest,1,0.94,0.99,0.96,210,0,0.75,0.30,0.43,20
第一医药,naivebayes,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
三棵树,naivebayes,1,1.00,1.00,1.00,91,0,1.00,1.00,1.00,10
九芝堂,naivebayes,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,1
史丹利,naivebayes,1,1.00,1.00,1.00,45,0,1.00,1.00,1.00,6
佛山照明,naivebayes,1,1.00,1.00,1.00,40,0,1.00,1.00,1.00,2
鹏博士,naivebayes,1,1.00,0.96,0.98,72,0,0.87,1.00,0.93,20
云南白药,naivebayes,1,1.00,1.00,1.00,106,0,1.00,1.00,1.00,2
宁波港,naivebayes,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,1
湖南发展,randomforest,1,0.93,0.72,0.81,18,0,0.79,0.95,0.86,20
大北农,naivebayes,avg / total,1.00,1.00,1.00,31,1,1.00,1.00,1.00,31
视觉中国,naivebayes,1,1.00,1.00,1.00,73,0,1.00,1.00,1.00,10
日出东方,naivebayes,1,1.00,0.93,0.96,28,0,0.90,1.00,0.95,18
同花顺,randomforest,1,0.86,0.98,0.92,209,0,0.60,0.15,0.24,39
外高桥,naivebayes,1,0.80,0.92,0.86,26,0,0.98,0.94,0.96,98
全新好,naivebayes,avg / total,1.00,1.00,1.00,27,1,1.00,1.00,1.00,27
老凤祥,naivebayes,1,1.00,1.00,1.00,115,0,1.00,1.00,1.00,3
贵人鸟,naivebayes,1,1.00,1.00,1.00,71,0,1.00,1.00,1.00,2
新大洲,naivebayes,avg / total,1.00,1.00,1.00,18,1,1.00,1.00,1.00,18
长城影视,naivebayes,1,1.00,1.00,1.00,125,0,1.00,1.00,1.00,3
西安旅游,randomforest,1,0.93,1.00,0.97,84,0,1.00,0.67,0.80,18
人民网,randomforest,1,1.00,1.00,1.00,9,0,1.00,1.00,1.00,18
太阳能,svm,1,0.61,0.94,0.74,18,0,0.90,0.45,0.60,20
南京医药,naivebayes,avg / total,1.00,1.00,1.00,5,1,1.00,1.00,1.00,5
万年青,naivebayes,1,1.00,1.00,1.00,10,0,1.00,1.00,1.00,17
富安娜,naivebayes,1,1.00,1.00,1.00,63,0,1.00,1.00,1.00,7
神州信息,naivebayes,avg / total,1.00,1.00,1.00,32,1,1.00,1.00,1.00,32
兔宝宝,naivebayes,1,1.00,1.00,1.00,91,0,1.00,1.00,1.00,6
长白山,svm,1,0.83,0.94,0.88,286,0,0.23,0.08,0.12,60
中关村,naivebayes,1,1.00,0.85,0.92,20,0,0.81,1.00,0.90,13
兄弟科技,naivebayes,avg / total,1.00,1.00,1.00,18,1,1.00,1.00,1.00,18
峨眉山,randomforest,1,0.84,0.91,0.87,744,0,0.78,0.65,0.71,380
中国软件,svm,1,0.95,0.95,0.95,20,0,0.94,0.94,0.94,18
东方电气,naivebayes,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
海澜之家,randomforest,1,0.99,1.00,0.99,99,0,1.00,0.94,0.97,18
星期六,naivebayes,1,1.00,1.00,1.00,2,0,1.00,1.00,1.00,9
中国石油,svm,1,0.97,0.98,0.98,421,0,0.63,0.52,0.57,23
小天鹅,naivebayes,1,1.00,1.00,1.00,42,0,1.00,1.00,1.00,17
百合花,svm,1,0.99,1.00,0.99,1000,0,0.71,0.50,0.59,20
大西洋,svm,1,0.91,0.91,0.91,1505,0,0.87,0.86,0.87,1016
海量数据,naivebayes,1,0.94,1.00,0.97,16,0,1.00,0.94,0.97,18
中国国旅,naivebayes,avg / total,1.00,1.00,1.00,60,1,1.00,1.00,1.00,60
上海电影,naivebayes,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,1
向日葵,naivebayes,avg / total,1.00,1.00,1.00,1,0,1.00,1.00,1.00,1
七匹狼,naivebayes,1,1.00,1.00,1.00,20,0,1.00,1.00,1.00,6
华谊兄弟,naivebayes,1,1.00,1.00,1.00,153,0,1.00,1.00,1.00,7
华侨城,svm,1,0.99,0.99,0.99,2915,0,0.80,0.76,0.78,119
天津港,naivebayes,1,1.00,1.00,1.00,45,0,1.00,1.00,1.00,16
跨境通,svm,1,0.93,0.86,0.89,29,0,0.83,0.91,0.87,22
东方时尚,svm,1,0.98,0.99,0.99,448,0,0.81,0.65,0.72,20
太平鸟,naivebayes,avg / total,1.00,1.00,1.00,33,1,1.00,1.00,1.00,33
新经典,naivebayes,avg / total,1.00,1.00,1.00,3,0,1.00,1.00,1.00,3
黑牡丹,naivebayes,1,1.00,1.00,1.00,8,0,1.00,1.00,1.00,2
多喜爱,randomforest,1,1.00,1.00,1.00,126,0,1.00,1.00,1.00,14
中国电影,svm,1,0.71,0.81,0.76,21,0,0.88,0.81,0.85,37
比亚迪,svm,1,0.99,0.99,0.99,2315,0,0.00,0.00,0.00,34
阳光城,randomforest,1,0.95,0.88,0.91,358,0,0.15,0.32,0.21,25
连云港,naivebayes,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,4
格力电器,randomforest,1,0.99,0.99,0.99,427,0,0.67,0.67,0.67,18
新大陆,naivebayes,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,3
东方网络,naivebayes,avg / total,1.00,1.00,1.00,21,1,1.00,1.00,1.00,21
东方明珠,naivebayes,1,0.95,0.94,0.95,1692,0,0.72,0.76,0.74,329
青岛啤酒,naivebayes,1,1.00,1.00,1.00,79,0,1.00,1.00,1.00,1
动力源,svm,1,0.85,0.94,0.89,18,0,0.96,0.90,0.93,30
杭州高新,naivebayes,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,2
西藏发展,naivebayes,1,1.00,1.00,1.00,13,0,1.00,1.00,1.00,10
珠海港,naivebayes,avg / total,1.00,1.00,1.00,45,1,1.00,1.00,1.00,45
南京港,naivebayes,1,0.83,0.95,0.89,21,0,0.93,0.78,0.85,18
美丽生态,svm,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,14
山西汾酒,naivebayes,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
万里马,naivebayes,avg / total,1.00,1.00,1.00,18,1,1.00,1.00,1.00,18
东方财富,naivebayes,1,1.00,1.00,1.00,1246,0,1.00,1.00,1.00,131
祁连山,svm,1,1.00,0.72,0.84,18,0,0.97,1.00,0.98,154
北京城乡,randomforest,1,0.97,0.99,0.98,309,0,0.88,0.68,0.76,31
美的集团,naivebayes,1,1.00,0.99,1.00,7657,0,0.21,0.85,0.34,20
喜临门,naivebayes,avg / total,1.00,1.00,1.00,24,1,1.00,1.00,1.00,24
帝王洁具,naivebayes,avg / total,1.00,1.00,1.00,39,1,1.00,1.00,1.00,39
现代投资,naivebayes,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,3
九牧王,naivebayes,avg / total,1.00,1.00,1.00,59,1,1.00,1.00,1.00,59
湖南投资,naivebayes,1,0.93,0.93,0.93,14,0,0.86,0.86,0.86,7
木林森,randomforest,1,1.00,1.00,1.00,90,0,1.00,1.00,1.00,8
全通教育,svm,1,0.99,1.00,1.00,310,0,1.00,0.75,0.86,8
苏泊尔,randomforest,1,1.00,1.00,1.00,47,0,1.00,1.00,1.00,3
乐视网,svm,1,1.00,1.00,1.00,4753,0,0.57,0.22,0.32,18
红旗连锁,naivebayes,1,1.00,1.00,1.00,31,0,1.00,1.00,1.00,5
漫步者,randomforest,1,1.00,1.00,1.00,18,0,1.00,1.00,1.00,13
吉祥航空,naivebayes,avg / total,1.00,1.00,1.00,41,1,1.00,1.00,1.00,41
张家界,svm,1,0.70,0.78,0.74,785,0,0.76,0.67,0.71,795
北京文化,naivebayes,1,1.00,1.00,1.00,245,0,1.00,1.00,1.00,3
